Hours_Studied,CGPA,Extracurricular_Activities,Sleep_Hours,Sample_Question_Papers_Practiced,Performance_Index
4,7.7,Yes,8,0,62.0
9,7.6,Yes,8,1,71.0
4,5.9,No,9,7,42.0
2,7.2,Yes,8,4,52.0
5,6.8,Yes,4,1,54.0
3,8.9,No,4,4,68.0
9,5.4,Yes,5,7,50.0
4,6.2,Yes,9,3,46.0
6,8.1,No,4,2,68.0
2,4.2,Yes,9,4,19.0
6,7.6,No,9,6,68.0
3,9.5,No,7,1,74.0
9,6.8,No,6,0,63.0
2,8.4,No,6,4,60.0
9,4.7,Yes,9,6,47.0
5,6.1,No,6,7,47.0
8,9.2,No,6,7,87.0
2,6.8,Yes,8,9,45.0
6,4.1,No,8,8,31.0
3,8.0,Yes,7,0,61.0
5,8.8,No,5,6,73.0
8,9.8,No,4,9,92.0
1,8.9,No,4,7,65.0
5,8.4,No,8,5,69.0
3,4.0,Yes,9,9,20.0
4,8.3,Yes,6,3,66.0
2,5.9,Yes,7,6,38.0
9,9.1,No,5,2,81.0
3,6.0,No,8,1,39.0
2,7.6,No,9,5,53.0
9,4.7,Yes,7,1,44.0
7,6.6,No,9,5,58.0
6,8.6,Yes,7,9,79.0
1,9.8,Yes,8,2,75.0
5,7.4,Yes,7,1,59.0
3,4.5,No,6,7,23.0
1,9.9,No,7,3,74.0
4,8.4,No,5,3,65.0
2,8.3,No,7,6,60.0
2,5.8,Yes,4,7,32.0
3,5.7,Yes,7,8,38.0
8,9.5,No,9,9,91.0
8,4.0,No,8,7,34.0
7,6.4,No,4,3,46.0
6,6.6,Yes,8,1,55.0
9,4.6,No,9,9,43.0
4,8.3,Yes,5,4,67.0
1,8.1,Yes,6,6,56.0
8,6.8,Yes,5,1,58.0
7,7.0,Yes,4,3,60.0
7,8.3,Yes,9,5,77.0
3,8.2,Yes,9,7,69.0
4,7.5,Yes,6,9,60.0
9,5.8,No,7,5,52.0
6,4.5,No,4,5,36.0
5,6.4,No,6,5,49.0
3,7.0,Yes,8,3,50.0
9,4.8,Yes,6,2,48.0
5,5.9,No,8,0,43.0
5,4.9,Yes,8,1,34.0
4,7.6,Yes,9,1,57.0
4,6.6,Yes,6,9,50.0
1,5.2,Yes,9,6,28.0
7,8.0,Yes,9,5,72.0
9,4.1,Yes,5,7,38.0
3,8.9,Yes,5,8,68.0
2,6.0,Yes,9,4,41.0
3,7.2,Yes,9,2,53.0
1,6.3,Yes,8,3,36.0
6,9.2,Yes,9,7,80.0
7,8.3,Yes,4,2,73.0
2,8.1,No,6,1,59.0
8,7.3,Yes,4,6,67.0
6,9.9,Yes,5,3,91.0
4,4.8,No,4,7,34.0
5,4.1,No,7,0,23.0
8,9.4,No,7,7,86.0
3,9.5,Yes,5,4,73.0
3,6.9,Yes,4,1,49.0
4,6.1,No,6,0,43.0
1,8.5,No,5,5,61.0
9,5.0,No,7,8,45.0
8,9.4,Yes,5,8,85.0
8,8.2,Yes,4,8,75.0
6,5.6,No,4,3,44.0
7,7.5,Yes,4,5,66.0
6,5.2,Yes,8,9,45.0
9,4.6,No,4,5,40.0
3,5.5,No,9,4,38.0
3,7.2,No,7,1,50.0
3,8.4,Yes,7,6,67.0
3,4.0,Yes,8,0,21.0
9,5.0,Yes,7,5,51.0
4,4.5,Yes,7,4,25.0
7,5.9,Yes,5,4,53.0
9,7.4,No,4,7,71.0
7,8.3,Yes,9,8,77.0
9,7.6,Yes,9,6,75.0
3,8.0,No,5,9,60.0
4,6.5,No,9,7,49.0
8,9.7,No,5,1,87.0
6,5.1,No,9,1,40.0
5,6.9,Yes,7,7,56.0
4,6.7,Yes,6,5,49.0
8,6.6,No,4,7,59.0
1,8.1,Yes,6,8,59.0
9,5.8,No,7,8,54.0
1,4.4,Yes,8,5,17.0
8,9.7,Yes,5,7,90.0
4,4.4,Yes,9,1,23.0
9,8.0,No,9,7,82.0
5,6.6,No,7,2,49.0
3,6.7,Yes,9,0,50.0
9,6.5,Yes,7,6,60.0
9,6.6,No,6,0,60.0
4,9.1,No,8,0,74.0
4,8.8,Yes,5,0,71.0
8,8.1,Yes,9,3,77.0
2,6.0,No,8,3,34.0
9,4.0,Yes,8,9,39.0
6,9.3,No,8,5,85.0
9,6.7,No,4,9,64.0
8,8.7,Yes,8,2,87.0
7,9.7,Yes,7,9,91.0
1,9.7,Yes,4,5,73.0
3,5.4,No,4,6,34.0
2,9.4,No,8,0,70.0
5,5.6,No,9,5,42.0
5,6.5,Yes,9,9,55.0
5,5.9,Yes,9,0,45.0
4,6.4,No,9,6,49.0
5,5.2,No,7,9,37.0
3,7.2,Yes,9,4,55.0
1,6.4,No,5,9,38.0
5,4.7,Yes,8,3,35.0
9,4.4,Yes,4,0,41.0
9,4.5,No,5,8,43.0
4,6.2,No,9,6,46.0
3,9.1,No,5,1,69.0
1,6.9,No,4,3,37.0
2,5.3,No,9,3,31.0
8,9.3,Yes,5,7,90.0
1,6.2,No,7,1,33.0
8,5.0,Yes,7,4,44.0
7,7.0,No,8,9,62.0
8,4.5,No,8,7,41.0
6,5.0,No,5,5,38.0
9,5.2,No,4,3,45.0
3,5.1,No,7,4,34.0
4,9.3,No,6,1,72.0
6,4.1,Yes,8,4,29.0
8,9.2,No,7,2,83.0
5,7.4,No,9,2,61.0
3,9.4,No,5,6,75.0
6,7.5,No,7,2,63.0
4,5.6,Yes,7,3,36.0
9,6.7,Yes,5,6,62.0
3,6.7,Yes,8,2,49.0
4,6.1,Yes,8,9,46.0
7,7.7,Yes,6,9,69.0
7,4.6,Yes,6,1,35.0
4,5.4,No,8,9,38.0
6,7.1,No,8,6,62.0
3,5.0,Yes,8,4,30.0
6,6.3,No,8,0,52.0
2,4.2,No,7,9,16.0
8,6.9,No,6,7,66.0
2,4.5,No,5,2,20.0
7,9.7,No,4,6,86.0
9,4.1,Yes,5,5,38.0
1,5.3,Yes,9,9,30.0
8,8.0,Yes,4,5,71.0
7,5.7,Yes,7,7,49.0
6,9.0,Yes,9,3,79.0
6,8.3,Yes,6,3,69.0
6,7.0,No,4,2,56.0
9,5.2,Yes,8,0,47.0
2,6.5,No,9,9,41.0
1,8.3,No,7,2,58.0
6,5.1,Yes,4,0,38.0
8,5.7,Yes,8,5,52.0
3,4.8,Yes,9,7,25.0
1,8.8,No,7,2,62.0
9,6.0,Yes,9,3,60.0
1,8.7,Yes,4,4,63.0
3,8.8,Yes,8,6,72.0
8,9.2,No,6,5,84.0
3,9.5,Yes,7,1,74.0
4,7.9,Yes,4,6,61.0
8,8.2,No,8,7,77.0
1,6.3,No,6,0,36.0
6,7.3,No,9,5,65.0
1,4.7,Yes,8,8,23.0
1,8.3,Yes,6,6,60.0
8,9.2,No,4,4,83.0
4,7.2,Yes,8,9,56.0
1,6.2,No,8,9,37.0
7,5.2,No,5,8,43.0
5,9.3,No,7,1,76.0
5,9.2,No,8,6,83.0
1,8.8,No,6,8,63.0
6,5.3,Yes,7,1,39.0
9,5.3,Yes,4,9,48.0
9,5.5,Yes,7,5,53.0
8,8.8,Yes,5,8,84.0
5,7.7,No,4,2,63.0
1,9.7,Yes,8,7,73.0
9,9.9,No,9,4,99.0
1,7.8,No,4,6,52.0
8,6.5,Yes,4,2,58.0
5,6.5,Yes,5,7,50.0
3,4.0,No,6,1,18.0
7,7.1,Yes,4,7,62.0
7,9.6,Yes,6,1,87.0
9,5.4,Yes,7,6,53.0
7,9.1,Yes,9,1,87.0
3,6.0,No,5,6,37.0
1,5.7,No,8,0,31.0
8,6.9,Yes,4,5,63.0
3,9.9,No,9,9,81.0
8,9.7,No,9,6,95.0
8,5.2,Yes,6,3,45.0
5,6.3,Yes,4,0,48.0
1,6.9,No,9,5,47.0
7,4.1,No,5,3,31.0
5,5.8,No,8,2,43.0
8,8.6,Yes,7,3,82.0
9,8.3,No,7,5,80.0
7,8.6,No,6,4,76.0
7,6.4,Yes,9,1,57.0
1,8.9,No,7,1,64.0
4,5.3,Yes,6,2,35.0
2,4.5,Yes,8,5,24.0
2,5.1,No,4,0,30.0
2,5.9,Yes,5,6,38.0
4,6.2,Yes,8,7,45.0
1,6.9,No,8,6,44.0
4,6.9,Yes,7,2,53.0
2,7.7,No,7,5,53.0
5,9.7,Yes,5,3,84.0
3,6.9,Yes,4,4,47.0
8,8.0,No,8,2,76.0
4,6.9,No,9,4,57.0
1,9.6,No,7,5,71.0
1,9.7,Yes,8,7,74.0
3,7.5,No,4,5,54.0
9,8.8,Yes,6,8,84.0
7,7.3,No,4,9,62.0
2,5.5,Yes,8,9,35.0
9,6.3,No,8,9,62.0
2,5.3,Yes,5,9,30.0
3,6.5,No,8,3,47.0
2,4.7,Yes,7,1,25.0
3,5.3,Yes,9,8,40.0
6,7.0,Yes,5,2,56.0
9,4.1,Yes,8,6,38.0
9,8.7,No,4,3,86.0
7,4.3,Yes,8,0,38.0
3,4.0,No,4,7,17.0
4,9.4,Yes,4,3,75.0
6,5.9,No,8,5,48.0
5,9.8,Yes,4,6,87.0
2,5.3,Yes,9,7,32.0
6,7.9,No,6,9,68.0
3,6.4,No,5,1,42.0
8,9.9,Yes,8,8,96.0
2,6.4,No,6,9,42.0
1,4.2,No,4,2,18.0
9,4.4,No,4,0,41.0
3,7.7,Yes,5,1,54.0
1,9.3,No,6,7,67.0
7,6.5,Yes,6,9,57.0
5,7.9,No,8,5,65.0
5,7.7,No,4,0,62.0
1,7.7,Yes,7,8,56.0
9,4.3,No,8,6,39.0
7,4.6,No,8,9,38.0
8,6.9,No,8,2,65.0
9,6.9,No,5,6,68.0
6,9.5,No,5,5,82.0
5,5.8,No,8,2,44.0
6,7.8,No,9,7,67.0
2,7.4,Yes,7,0,53.0
4,7.9,Yes,6,4,61.0
3,7.2,Yes,6,7,53.0
7,7.2,Yes,4,2,61.0
9,5.3,Yes,6,9,49.0
5,7.7,No,6,5,61.0
6,4.9,Yes,7,9,38.0
2,9.6,Yes,6,1,76.0
3,6.7,No,7,8,47.0
3,5.3,Yes,5,1,32.0
9,7.5,No,7,4,71.0
7,7.7,No,5,2,69.0
8,5.5,Yes,7,9,53.0
9,9.9,Yes,8,8,100.0
6,6.0,No,9,8,49.0
4,6.7,No,5,6,48.0
1,7.2,Yes,5,9,45.0
8,4.5,No,6,4,40.0
7,8.0,Yes,5,8,71.0
2,5.4,Yes,7,6,34.0
8,8.3,Yes,8,1,76.0
5,4.2,Yes,8,9,29.0
7,8.2,No,6,0,71.0
4,8.6,No,7,9,69.0
5,7.4,Yes,7,9,58.0
8,5.3,Yes,4,3,43.0
1,4.1,No,5,9,17.0
1,6.8,No,6,7,41.0
4,4.3,No,8,5,27.0
3,6.5,No,9,1,45.0
2,9.0,No,4,4,65.0
3,5.1,Yes,7,8,31.0
1,4.1,Yes,5,5,14.0
1,5.6,Yes,8,5,33.0
6,7.4,Yes,4,6,60.0
5,4.9,No,7,4,34.0
8,8.7,No,8,2,82.0
2,6.1,Yes,8,2,40.0
4,8.0,Yes,7,4,66.0
8,8.2,No,7,3,76.0
6,6.0,Yes,6,4,46.0
1,5.4,Yes,8,8,31.0
4,7.4,No,7,4,57.0
1,8.7,No,9,3,65.0
2,6.0,No,9,3,38.0
5,6.0,Yes,4,0,46.0
8,6.0,No,5,9,53.0
8,9.9,No,9,3,97.0
3,8.3,Yes,6,3,63.0
4,7.1,No,7,8,55.0
6,9.4,Yes,5,3,79.0
3,4.4,Yes,6,6,26.0
2,7.8,Yes,8,0,55.0
6,4.8,Yes,5,6,37.0
5,9.2,No,9,1,78.0
5,5.7,Yes,6,7,45.0
5,6.0,No,7,0,45.0
5,4.7,No,7,9,34.0
3,8.3,No,6,2,66.0
7,9.1,No,8,7,79.0
6,7.3,No,9,9,63.0
4,4.9,Yes,6,7,32.0
2,9.0,No,4,4,64.0
9,8.0,Yes,6,4,78.0
1,9.6,Yes,6,7,69.0
4,6.3,Yes,9,9,46.0
1,7.9,No,7,4,54.0
6,6.3,No,8,8,51.0
4,9.5,No,6,0,78.0
5,7.1,No,5,4,54.0
5,9.5,Yes,7,2,80.0
9,7.2,No,7,2,67.0
1,7.7,No,6,1,48.0
2,8.3,Yes,9,2,61.0
6,9.6,Yes,5,6,83.0
5,9.5,Yes,6,7,82.0
7,9.0,Yes,5,7,78.0
3,9.8,Yes,7,7,78.0
3,8.8,Yes,5,0,70.0
2,7.3,Yes,6,6,48.0
3,5.0,No,4,1,26.0
1,7.0,No,4,9,46.0
5,5.7,Yes,5,3,42.0
5,6.2,Yes,9,4,46.0
7,9.9,No,6,0,91.0
4,6.1,Yes,8,3,47.0
3,8.2,Yes,4,3,61.0
1,5.7,Yes,7,8,31.0
8,7.9,Yes,6,8,71.0
3,8.6,Yes,6,9,66.0
2,8.0,No,4,0,52.0
4,8.6,Yes,8,7,71.0
3,7.8,Yes,7,3,60.0
1,5.9,Yes,8,3,32.0
3,5.2,No,7,4,33.0
2,8.4,No,4,1,56.0
8,4.0,Yes,6,0,32.0
6,9.1,Yes,7,4,76.0
9,4.3,Yes,6,6,40.0
8,6.3,Yes,5,9,60.0
3,7.5,No,5,8,54.0
5,7.5,No,4,1,59.0
7,8.4,Yes,4,7,74.0
5,4.1,Yes,9,6,29.0
8,6.7,No,4,1,61.0
5,6.5,No,5,4,50.0
1,6.2,Yes,7,6,36.0
5,5.4,Yes,8,2,41.0
4,7.5,Yes,4,1,60.0
6,6.6,No,8,5,56.0
3,4.5,No,8,9,23.0
5,7.4,No,5,5,63.0
2,7.8,No,9,3,54.0
6,7.7,Yes,7,0,64.0
6,7.4,No,5,4,64.0
5,7.5,No,4,0,58.0
6,4.9,No,5,7,38.0
7,6.9,Yes,5,1,60.0
5,9.2,No,5,8,79.0
1,8.0,No,4,8,57.0
8,7.7,No,4,2,69.0
4,6.8,Yes,5,5,51.0
9,9.1,No,5,8,86.0
6,9.8,Yes,8,6,90.0
1,8.2,Yes,7,3,57.0
3,7.8,No,8,2,61.0
3,8.9,Yes,9,1,71.0
4,4.3,No,7,9,30.0
6,4.4,Yes,9,9,34.0
7,4.3,Yes,7,0,34.0
4,7.5,No,5,9,58.0
6,9.8,No,8,0,85.0
1,8.4,Yes,7,3,55.0
8,5.5,Yes,9,3,51.0
7,6.4,Yes,7,8,53.0
9,5.3,Yes,4,9,51.0
3,5.0,No,7,0,31.0
2,6.8,Yes,5,3,44.0
1,7.3,Yes,6,2,48.0
3,6.1,No,4,8,41.0
5,5.3,Yes,6,4,40.0
2,9.5,No,5,8,72.0
3,6.3,No,6,9,41.0
4,9.8,No,7,5,78.0
7,7.8,Yes,6,8,70.0
3,6.5,No,8,0,41.0
9,8.2,No,5,3,78.0
8,7.5,No,8,3,70.0
4,7.8,Yes,6,9,61.0
1,5.5,Yes,8,9,33.0
1,9.7,Yes,4,5,71.0
1,7.7,Yes,6,9,51.0
1,9.8,No,9,0,72.0
8,7.1,No,8,9,69.0
3,4.5,No,7,4,21.0
6,7.3,Yes,6,2,61.0
3,9.5,No,9,0,76.0
5,4.7,Yes,4,5,30.0
7,6.9,Yes,7,2,59.0
2,6.6,Yes,6,3,45.0
6,4.6,No,7,8,39.0
6,6.6,No,6,1,53.0
3,6.4,Yes,6,0,43.0
6,9.5,No,5,9,85.0
5,8.5,Yes,8,5,70.0
2,8.0,No,6,0,56.0
9,5.4,Yes,4,0,52.0
8,6.4,Yes,9,6,65.0
3,6.1,Yes,8,1,39.0
8,5.7,No,5,3,48.0
9,5.1,No,8,3,47.0
3,6.2,No,8,1,41.0
3,9.0,No,6,5,72.0
2,8.4,No,4,9,61.0
8,7.8,Yes,6,1,74.0
1,6.4,No,4,7,38.0
8,4.9,Yes,4,3,42.0
7,6.9,No,7,0,60.0
7,4.9,No,6,6,35.0
3,7.3,No,5,5,52.0
1,8.5,Yes,9,5,61.0
4,5.2,No,8,2,32.0
9,9.3,Yes,7,9,95.0
5,6.8,No,5,6,53.0
1,7.7,Yes,9,5,54.0
5,8.0,Yes,9,9,70.0
8,8.4,Yes,6,9,78.0
8,4.8,Yes,4,8,42.0
5,5.2,No,6,2,33.0
9,7.6,No,9,2,75.0
1,5.3,Yes,6,3,26.0
4,7.6,No,7,2,58.0
3,4.8,Yes,5,3,29.0
2,4.7,No,9,5,29.0
8,7.8,No,7,0,70.0
7,7.9,No,5,1,67.0
9,9.3,Yes,7,9,93.0
2,4.2,No,8,5,21.0
4,9.4,Yes,4,5,74.0
6,9.5,No,4,0,82.0
3,8.6,Yes,4,5,65.0
8,7.9,No,8,8,75.0
3,7.2,Yes,9,7,55.0
2,7.1,Yes,9,9,54.0
3,4.6,Yes,8,4,26.0
6,5.8,No,4,3,48.0
2,7.3,Yes,4,5,49.0
8,5.3,No,5,4,49.0
1,8.9,Yes,5,5,64.0
7,8.6,Yes,6,9,81.0
2,8.5,Yes,7,2,64.0
6,9.5,No,5,6,82.0
2,9.6,No,5,7,74.0
2,5.8,No,5,4,32.0
8,9.0,No,5,4,83.0
2,9.3,No,8,3,68.0
7,9.8,No,6,9,90.0
3,6.5,No,5,4,44.0
8,5.6,Yes,9,9,51.0
7,9.3,Yes,7,7,86.0
8,6.7,No,5,4,62.0
7,5.8,No,8,8,48.0
6,6.6,No,9,0,56.0
7,8.7,No,4,6,79.0
5,9.1,No,4,4,74.0
7,9.6,Yes,6,3,82.0
1,5.8,No,4,2,32.0
1,7.2,No,5,9,46.0
9,9.0,No,8,6,88.0
5,4.6,Yes,6,1,35.0
5,6.8,Yes,9,4,56.0
3,9.4,Yes,5,1,74.0
5,8.2,Yes,4,6,67.0
3,4.4,No,7,5,23.0
9,6.9,Yes,5,9,67.0
9,8.8,Yes,7,6,86.0
6,8.2,Yes,9,8,70.0
1,9.5,Yes,7,1,68.0
7,9.7,Yes,9,8,91.0
7,4.7,No,6,6,42.0
4,8.1,Yes,8,1,62.0
8,5.1,Yes,4,9,44.0
6,8.1,Yes,4,1,67.0
4,5.2,No,5,3,35.0
4,6.5,No,4,1,46.0
2,5.7,No,6,0,31.0
2,8.1,No,4,5,59.0
4,9.0,No,5,9,71.0
5,9.1,No,4,4,74.0
8,8.8,No,8,2,80.0
6,5.9,No,9,0,49.0
4,5.5,Yes,7,8,39.0
7,7.6,Yes,7,7,67.0
8,4.2,No,9,5,38.0
2,6.6,Yes,7,5,47.0
7,5.4,No,8,3,41.0
2,9.7,Yes,6,1,75.0
2,7.3,Yes,5,3,53.0
8,8.4,No,8,1,81.0
2,6.1,Yes,5,6,37.0
9,7.9,No,6,8,77.0
1,6.2,No,8,1,36.0
9,9.8,Yes,4,8,95.0
1,8.8,No,6,8,65.0
2,4.3,Yes,7,7,18.0
6,9.0,Yes,8,0,80.0
6,9.3,No,6,4,81.0
1,9.6,No,6,9,73.0
7,8.0,No,8,3,74.0
8,6.2,No,7,6,57.0
2,8.6,No,9,7,64.0
8,9.9,Yes,7,9,97.0
9,4.8,No,6,7,42.0
6,6.3,Yes,5,1,48.0
5,6.0,No,9,2,46.0
9,8.0,Yes,9,9,79.0
9,8.5,Yes,6,9,83.0
1,9.4,Yes,8,6,70.0
3,9.2,Yes,8,3,73.0
9,5.5,Yes,8,5,56.0
2,9.5,No,7,7,71.0
4,9.4,Yes,4,7,76.0
4,6.4,No,8,6,49.0
2,6.5,Yes,8,1,43.0
3,8.8,No,9,1,67.0
3,8.4,Yes,5,2,63.0
1,4.8,Yes,5,3,18.0
6,5.4,No,6,0,43.0
8,7.8,No,6,4,72.0
3,7.2,Yes,6,6,57.0
5,4.0,Yes,8,9,25.0
1,4.4,No,5,4,15.0
7,9.5,Yes,6,6,88.0
1,4.8,Yes,5,4,24.0
9,8.3,No,8,9,81.0
8,4.5,Yes,9,7,40.0
7,6.7,Yes,8,6,60.0
7,8.4,No,6,0,73.0
5,6.5,Yes,8,0,52.0
5,6.7,No,8,4,53.0
5,7.9,No,5,1,65.0
1,5.4,Yes,4,8,30.0
8,4.5,Yes,7,1,39.0
1,6.6,No,6,8,43.0
4,7.7,No,4,9,59.0
9,4.3,Yes,9,1,38.0
9,5.0,No,6,3,44.0
5,6.0,Yes,4,2,44.0
4,6.9,No,8,5,53.0
3,5.7,No,6,3,37.0
3,7.4,No,4,8,52.0
5,4.2,Yes,7,8,30.0
1,5.1,No,8,9,22.0
5,6.6,No,6,8,51.0
6,9.2,No,9,2,82.0
7,6.9,No,9,2,63.0
9,6.0,Yes,6,3,58.0
3,7.7,No,4,8,58.0
2,6.0,Yes,6,5,38.0
3,9.9,No,8,8,80.0
9,7.7,No,5,7,70.0
7,7.9,Yes,9,6,72.0
9,5.4,Yes,4,4,48.0
2,5.7,No,7,8,36.0
5,9.1,No,6,3,73.0
4,6.8,No,8,3,51.0
2,8.7,Yes,6,7,63.0
9,7.7,No,7,3,74.0
9,9.9,Yes,8,6,98.0
6,6.0,No,7,3,45.0
6,5.6,Yes,8,0,45.0
8,8.0,Yes,5,9,74.0
6,9.0,Yes,9,8,81.0
1,5.7,No,8,3,30.0
4,9.6,No,7,2,77.0
7,9.4,Yes,4,2,86.0
2,7.6,Yes,9,8,58.0
9,9.9,Yes,5,7,99.0
8,7.7,No,6,9,69.0
8,5.1,No,5,6,47.0
7,5.0,No,5,6,42.0
4,8.7,Yes,6,3,73.0
2,9.1,No,8,2,71.0
3,8.8,No,5,3,68.0
6,5.9,No,9,5,47.0
5,4.8,Yes,5,3,31.0
8,4.0,No,4,3,31.0
6,9.7,No,9,1,86.0
6,4.2,No,4,6,27.0
1,6.0,No,9,5,32.0
4,6.2,No,7,1,41.0
5,4.8,Yes,6,4,33.0
3,9.3,Yes,9,5,75.0
9,5.8,Yes,9,4,57.0
1,8.4,Yes,8,3,59.0
6,9.4,No,8,8,87.0
6,8.5,No,7,2,72.0
5,9.1,Yes,8,1,78.0
5,5.8,Yes,8,8,46.0
5,6.2,Yes,4,7,47.0
6,6.6,No,8,8,58.0
8,6.6,No,8,9,63.0
2,7.8,No,7,2,56.0
6,7.5,Yes,7,0,62.0
1,5.1,Yes,5,0,23.0
4,9.4,Yes,8,2,73.0
3,6.6,No,8,3,46.0
9,8.5,No,9,1,80.0
3,7.3,Yes,8,7,59.0
6,7.2,Yes,4,2,60.0
1,6.7,No,9,3,41.0
6,7.0,No,8,5,61.0
4,7.1,Yes,4,9,51.0
8,8.9,Yes,5,5,82.0
9,5.9,No,9,1,55.0
4,7.9,Yes,6,5,64.0
6,7.4,Yes,8,3,61.0
1,7.0,No,9,4,44.0
4,9.7,Yes,7,6,81.0
7,7.0,No,9,6,64.0
1,7.7,Yes,7,5,53.0
8,6.1,No,8,9,55.0
6,8.4,Yes,4,5,72.0
5,8.0,Yes,7,5,65.0
9,4.8,Yes,9,3,44.0
2,9.1,No,9,2,70.0
5,4.8,Yes,7,0,34.0
6,5.4,Yes,5,2,41.0
7,5.2,No,5,2,43.0
5,6.1,Yes,5,8,48.0
9,5.5,No,7,2,46.0
1,7.1,No,7,7,47.0
7,4.1,No,9,7,37.0
7,6.5,Yes,8,2,56.0
4,5.3,No,8,9,40.0
9,9.8,Yes,4,9,96.0
5,7.7,No,7,5,63.0
4,7.3,Yes,8,7,58.0
7,4.7,No,8,7,36.0
4,7.5,No,5,9,61.0
3,6.0,Yes,5,9,39.0
9,9.5,No,5,8,90.0
8,8.5,Yes,6,8,79.0
1,8.2,No,8,7,58.0
7,9.5,Yes,5,6,89.0
9,6.7,No,5,9,64.0
8,8.5,No,7,2,78.0
8,8.3,Yes,9,6,79.0
6,8.7,No,5,3,72.0
4,4.5,Yes,7,1,26.0
8,5.9,Yes,4,7,52.0
3,7.0,No,5,1,49.0
9,7.2,No,9,0,66.0
2,8.3,No,7,4,59.0
2,4.6,Yes,9,9,28.0
7,4.7,Yes,5,8,39.0
4,4.8,No,4,4,31.0
8,4.1,Yes,5,1,33.0
9,5.6,No,7,9,57.0
7,9.1,No,4,3,83.0
5,8.4,No,4,7,69.0
8,7.6,Yes,4,6,71.0
4,8.1,Yes,6,4,62.0
2,8.3,No,7,3,58.0
6,5.6,Yes,6,4,46.0
9,9.2,No,9,6,93.0
1,7.7,No,4,4,48.0
7,7.4,Yes,6,7,68.0
9,9.9,No,5,6,97.0
9,8.6,No,6,6,82.0
3,7.8,No,8,8,57.0
5,6.9,No,9,7,55.0
8,4.5,No,4,7,37.0
8,4.3,Yes,4,5,35.0
4,9.0,Yes,9,6,72.0
1,7.6,No,9,7,51.0
1,7.4,Yes,7,4,50.0
4,9.7,No,5,9,82.0
6,9.6,No,9,1,84.0
8,4.8,No,9,6,46.0
6,4.5,No,7,9,34.0
9,5.2,Yes,9,2,55.0
9,9.8,Yes,6,9,95.0
2,6.1,No,8,7,40.0
1,6.7,Yes,8,5,42.0
2,6.9,No,8,3,45.0
5,9.1,Yes,9,1,80.0
4,7.5,No,8,6,60.0
4,4.1,No,5,0,21.0
9,9.7,No,6,6,95.0
8,7.5,Yes,8,9,72.0
6,4.7,Yes,4,9,35.0
1,8.4,No,9,6,58.0
2,8.1,Yes,6,9,59.0
6,8.9,Yes,5,2,77.0
2,4.8,Yes,8,3,23.0
5,4.0,Yes,5,3,26.0
5,5.2,Yes,9,3,39.0
6,8.9,Yes,8,8,79.0
6,5.4,Yes,4,5,39.0
6,7.1,Yes,6,9,61.0
2,7.3,Yes,4,8,47.0
3,8.2,Yes,8,3,63.0
6,7.0,Yes,7,6,61.0
8,5.3,Yes,6,9,51.0
1,9.3,Yes,5,8,68.0
1,8.6,No,8,9,66.0
2,5.3,No,4,2,29.0
6,8.7,Yes,9,2,78.0
9,9.4,Yes,7,5,94.0
4,6.8,Yes,9,7,56.0
3,8.6,No,8,0,68.0
8,5.8,No,5,3,50.0
9,6.6,Yes,4,7,62.0
5,4.8,Yes,6,5,31.0
9,7.6,Yes,7,1,73.0
2,7.6,Yes,8,7,57.0
3,8.2,Yes,8,0,60.0
7,6.7,No,8,0,56.0
7,9.1,Yes,8,6,88.0
6,9.6,No,4,9,84.0
6,6.3,Yes,6,2,48.0
2,6.7,Yes,5,7,41.0
6,7.5,No,7,8,65.0
4,9.1,No,8,7,74.0
3,5.7,Yes,9,0,38.0
2,6.4,No,8,0,40.0
1,7.4,Yes,6,5,49.0
5,4.3,No,6,0,30.0
2,5.3,No,4,7,29.0
2,7.8,Yes,4,5,57.0
7,6.5,Yes,9,4,58.0
8,4.7,No,9,5,40.0
8,6.3,Yes,4,3,60.0
4,5.5,No,7,0,41.0
1,5.9,No,9,6,34.0
7,5.4,Yes,4,9,46.0
1,4.6,No,8,8,24.0
4,9.7,Yes,4,3,79.0
8,5.6,Yes,7,3,52.0
2,6.1,No,4,8,36.0
6,6.1,Yes,4,3,52.0
6,9.3,No,8,9,84.0
9,5.1,No,9,3,50.0
5,5.7,Yes,8,7,47.0
4,9.5,Yes,8,3,81.0
5,8.5,No,4,8,70.0
5,8.6,Yes,8,7,77.0
8,5.4,No,6,4,49.0
8,7.6,No,5,8,70.0
2,5.5,No,5,7,28.0
7,4.4,No,8,9,36.0
8,4.1,No,9,3,34.0
6,9.1,Yes,7,3,80.0
5,6.7,No,8,0,51.0
9,9.6,No,9,3,95.0
3,8.0,No,8,7,60.0
4,9.3,No,4,4,78.0
9,6.6,No,9,5,65.0
6,7.0,No,7,3,57.0
8,8.0,Yes,8,4,75.0
7,7.5,Yes,6,9,69.0
2,8.6,No,9,7,62.0
3,8.2,No,5,8,63.0
1,4.0,No,9,2,11.0
9,8.9,Yes,6,9,91.0
7,6.8,No,6,3,58.0
1,4.0,No,6,0,15.0
3,4.7,No,7,4,24.0
4,9.6,No,7,3,80.0
4,5.5,No,9,5,36.0
5,9.7,No,7,5,83.0
3,6.7,Yes,5,9,49.0
3,6.1,No,4,5,41.0
1,5.7,No,9,2,33.0
7,6.1,No,8,6,52.0
1,8.0,No,8,2,52.0
2,5.1,No,9,5,31.0
